Occupancy_Type,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,All
Agricultural,1.0,13.0,5.0,6.0,7.0,12.0,2.0,6.0,6.0,5.0,0.0,6.0,3.0,2.0,4.0,0.0,-1.0,8.0,1.0,5.0,6.0,3.0,2.0,1.0,2.0,4.0,4.0,5.0,,118
Agricultural or Holiday,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2
Ancillary,4.0,6.0,1.0,3.0,4.0,5.0,0.0,2.0,9.0,-1.0,,-1.0,2.0,7.0,8.0,0.0,5.0,14.0,1.0,6.0,6.0,1.0,3.0,3.0,1.0,4.0,8.0,7.0,1.0,109
Ancillary or Holiday,,,,,,1.0,,,,1.0,,,,,,,2.0,,,,,,,6.0,1.0,3.0,1.0,3.0,1.0,19
Holiday,12.0,27.0,17.0,15.0,26.0,12.0,9.0,15.0,40.0,12.0,11.0,18.0,6.0,29.0,37.0,17.0,19.0,67.0,7.0,22.0,38.0,,3.0,20.0,9.0,24.0,12.0,15.0,11.0,550
Local Needs,10.0,12.0,15.0,63.0,5.0,14.0,26.0,23.0,10.0,9.0,-9.0,35.0,6.0,27.0,23.0,79.0,2.0,28.0,20.0,21.0,27.0,3.0,1.0,1.0,4.0,7.0,1.0,6.0,9.0,478
Open Market,63.0,135.0,68.0,52.0,34.0,40.0,76.0,48.0,77.0,99.0,46.0,54.0,135.0,43.0,40.0,24.0,27.0,73.0,26.0,21.0,21.0,12.0,15.0,21.0,10.0,49.0,21.0,17.0,10.0,1357
Student,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2
All,90.0,193.0,106.0,139.0,76.0,84.0,113.0,94.0,142.0,125.0,48.0,112.0,152.0,108.0,112.0,120.0,58.0,190.0,55.0,75.0,98.0,19.0,24.0,52.0,27.0,91.0,47.0,53.0,32.0,2635


Occupancy_Type,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,All
Agricultural,2.0,13.0,6.0,6.0,8.0,12.0,2.0,6.0,6.0,5.0,1.0,7.0,5.0,2.0,5.0,2.0,2.0,8.0,1.0,5.0,6.0,3.0,2.0,1.0,2.0,4.0,4.0,5.0,,131
Agricultural or Holiday,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2
Ancillary,4.0,6.0,1.0,3.0,4.0,5.0,1.0,2.0,10.0,2.0,,,3.0,8.0,11.0,6.0,5.0,17.0,1.0,8.0,7.0,1.0,3.0,3.0,1.0,4.0,8.0,7.0,1.0,132
Ancillary or Holiday,,,,,,1.0,,,,1.0,,,,,,,2.0,,,,,,,6.0,1.0,3.0,1.0,3.0,1.0,19
Holiday,13.0,28.0,17.0,16.0,26.0,13.0,9.0,16.0,46.0,22.0,13.0,19.0,10.0,32.0,38.0,18.0,23.0,68.0,8.0,23.0,41.0,,3.0,20.0,9.0,26.0,12.0,15.0,11.0,595
Local Needs,10.0,12.0,15.0,63.0,7.0,14.0,28.0,23.0,10.0,10.0,1.0,35.0,10.0,29.0,24.0,79.0,4.0,30.0,20.0,21.0,27.0,15.0,1.0,1.0,4.0,7.0,1.0,6.0,9.0,516
Open Market,67.0,137.0,69.0,57.0,34.0,40.0,78.0,51.0,78.0,100.0,49.0,58.0,137.0,49.0,41.0,25.0,34.0,82.0,29.0,27.0,25.0,14.0,15.0,23.0,11.0,54.0,25.0,22.0,11.0,1442
Student,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4
All,96.0,196.0,108.0,145.0,79.0,85.0,118.0,98.0,150.0,140.0,64.0,119.0,165.0,120.0,119.0,130.0,76.0,205.0,59.0,84.0,106.0,33.0,24.0,54.0,28.0,98.0,51.0,58.0,33.0,2841
