Application_Number,Parish,Description,Address,Occupancy_Type,Application_Type,FY,ISSUEDATE,District,Dwellings
16251227 2184,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","Ap #949-9453 Non, Street",Agricultural or Holiday,VAR,2007/08,21/01/2008,SMDC,1
16180116 7121,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8793 Torquent Av.,Agricultural or Holiday,VAR,2007/08,21/01/2008,SMDC,1
16771119 6951,Heaton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3033 Dignissim. Street,Ancillary or Holiday,VAR,1996/97,07/11/1996,SMDC,1
16461029 4599,Charlesworth,"Lorem ipsum dolor sit amet, consectetuer",280-8694 Natoque St.,Ancillary or Holiday,VAR,2007/08,01/07/2007,HPBC,2
16170307 8228,Abney Grange,"Lorem ipsum dolor sit amet, consectetuer adipiscing",988 Nullam Ave,Ancillary or Holiday,VAR,2000/01,09/03/2001,DDDC,1
16361022 1099,Curbar,"Lorem ipsum dolor sit amet, consectetuer",6997 Erat St.,Student,NEW,2007/08,06/07/2007,DDDC,4
16120813 9954,Curbar,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",332 Et Av.,Student,NEW,2007/08,06/07/2007,DDDC,-2
16770914 9301,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",496-5836 Odio St.,Ancillary,COU,2005/06,28/02/2002,DDDC,1
16550214 5476,Quarnford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #724-4824 Bibendum. Rd.,Ancillary,COU,1996/97,13/05/1996,SMDC,1
16060827 3405,Wardlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 821, 4621 Mi Road",Ancillary,COU,2005/06,09/08/2002,DDDC,1
16691111 9003,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9950 Neque. Street,Ancillary,COU,2008/09,13/06/2006,SMDC,1
16560105 0684,Wincle,"Lorem ipsum dolor sit amet, consectetuer adipiscing","1971 Imperdiet, Ave",Ancillary,COU,2005/06,29/07/2004,MBC,1
16490808 8596,Pott Shrigley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 517, 8193 Scelerisque St.",Ancillary,COU,2010/11,13/10/2006,MBC,1
16241104 5665,Gratton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9942 Libero Av.,Ancillary,COU,2008/09,05/10/2005,DDDC,1
16730127 4267,Stanton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #823-1627 Pellentesque. St.,Ancillary,COU,1999/00,02/09/1997,DDDC,1
